epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,1514.57,0.47815,0.52165,1.04253,0.97304,0.98079,0.98416,0.81399,0.56257,0.36785,0.84452,0.000109047,0.000109047,0.000109047
183,1523.4,0.44344,0.49941,1.02893,0.96764,0.98404,0.98543,0.83553,0.5247,0.36129,0.80334,0.000107523,0.000107523,0.000107523
184,1531.19,0.48715,0.49591,1.01831,0.97221,0.9835,0.98631,0.84178,0.5238,0.35563,0.8089,0.000105998,0.000105998,0.000105998
185,1540.1,0.48708,0.49715,1.02162,0.97645,0.98198,0.98515,0.83164,0.53201,0.36569,0.81547,0.000104474,0.000104474,0.000104474
186,1547.66,0.48641,0.48517,1.0221,0.97869,0.97532,0.98602,0.82408,0.56838,0.36067,0.87066,0.000102949,0.000102949,0.000102949
187,1556.44,0.44341,0.47449,1.02639,0.97979,0.97059,0.9864,0.82631,0.54916,0.35729,0.83191,0.000101424,0.000101424,0.000101424
188,1564.25,0.52012,0.51165,0.99316,0.97135,0.97815,0.98567,0.84102,0.5247,0.3584,0.80634,9.98998e-05,9.98998e-05,9.98998e-05
189,1573.34,0.45882,0.47881,1.01592,0.97374,0.98087,0.98657,0.83421,0.51952,0.35246,0.79762,9.83752e-05,9.83752e-05,9.83752e-05
190,1581.16,0.49045,0.49072,1.00218,0.97651,0.98618,0.98741,0.82915,0.53412,0.34822,0.80623,9.68506e-05,9.68506e-05,9.68506e-05
191,1590.06,0.44638,0.48529,1.02924,0.97523,0.98082,0.98753,0.81551,0.56506,0.35195,0.83343,9.5326e-05,9.5326e-05,9.5326e-05
192,1597.87,0.4589,0.47891,1.02159,0.97345,0.97789,0.98665,0.8203,0.56452,0.35021,0.83514,9.38014e-05,9.38014e-05,9.38014e-05
193,1606.37,0.50861,0.4974,1.00284,0.97939,0.97853,0.98451,0.83371,0.53541,0.34914,0.8129,9.22768e-05,9.22768e-05,9.22768e-05
194,1613.99,0.48196,0.49675,1.03525,0.97628,0.96692,0.98489,0.83249,0.55487,0.35888,0.83924,9.07522e-05,9.07522e-05,9.07522e-05
195,1622.76,0.4791,0.47999,1.00764,0.9736,0.96639,0.98459,0.83655,0.52565,0.35305,0.80736,8.92276e-05,8.92276e-05,8.92276e-05
196,1630.45,0.45029,0.45108,1.00081,0.97557,0.96771,0.98407,0.83054,0.53401,0.34688,0.80698,8.7703e-05,8.7703e-05,8.7703e-05
197,1638.88,0.45599,0.46498,0.9967,0.97439,0.97395,0.98337,0.83163,0.52731,0.34438,0.79768,8.61784e-05,8.61784e-05,8.61784e-05
198,1646.68,0.47183,0.47203,1.00385,0.96861,0.98252,0.98486,0.82704,0.52987,0.35566,0.79707,8.46538e-05,8.46538e-05,8.46538e-05
199,1655.65,0.44214,0.4595,1.00021,0.9668,0.96807,0.98483,0.82994,0.51763,0.35073,0.79552,8.31292e-05,8.31292e-05,8.31292e-05
200,1663.44,0.47017,0.4749,1.02074,0.96622,0.96014,0.98533,0.82158,0.52846,0.3692,0.80207,8.16046e-05,8.16046e-05,8.16046e-05
201,1672.32,0.44487,0.45829,1.01288,0.96956,0.96689,0.9853,0.82887,0.51077,0.35655,0.78733,8.008e-05,8.008e-05,8.008e-05
202,1680.05,0.45174,0.46203,1.01468,0.97213,0.96463,0.98555,0.83361,0.51856,0.35516,0.79444,7.85554e-05,7.85554e-05,7.85554e-05
203,1688.93,0.42476,0.45473,1.01751,0.97571,0.96355,0.98509,0.831,0.53925,0.35624,0.81795,7.70308e-05,7.70308e-05,7.70308e-05
204,1696.54,0.48802,0.4709,0.98813,0.97427,0.96464,0.98522,0.83312,0.53201,0.36828,0.81495,7.55062e-05,7.55062e-05,7.55062e-05
205,1705.59,0.45791,0.47972,1.02152,0.97498,0.96359,0.98548,0.82894,0.53625,0.35766,0.81396,7.39816e-05,7.39816e-05,7.39816e-05
206,1712.99,0.45249,0.46202,1.00863,0.97677,0.9615,0.9847,0.83386,0.52993,0.34479,0.819,7.2457e-05,7.2457e-05,7.2457e-05
207,1722.11,0.45124,0.47003,1.01705,0.97579,0.96002,0.98521,0.83848,0.52179,0.34627,0.81063,7.09324e-05,7.09324e-05,7.09324e-05
208,1729.67,0.44671,0.47995,0.98236,0.97747,0.96131,0.98515,0.82835,0.53629,0.3496,0.81584,6.94078e-05,6.94078e-05,6.94078e-05
209,1738.68,0.41396,0.4577,1.01835,0.97929,0.96103,0.9855,0.82317,0.54409,0.36208,0.8208,6.78832e-05,6.78832e-05,6.78832e-05
210,1746.48,0.40924,0.44235,1.00061,0.98059,0.95981,0.98566,0.83134,0.53223,0.36865,0.81112,6.63586e-05,6.63586e-05,6.63586e-05
211,1755.49,0.43678,0.43225,0.99896,0.9788,0.95986,0.98535,0.83135,0.53135,0.36087,0.81264,6.4834e-05,6.4834e-05,6.4834e-05
212,1763.09,0.40586,0.44452,1.01564,0.97405,0.96093,0.98516,0.82495,0.52135,0.35788,0.79489,6.33094e-05,6.33094e-05,6.33094e-05
213,1772.1,0.41937,0.45482,0.99791,0.96991,0.96373,0.98497,0.83409,0.507,0.34524,0.78842,6.17848e-05,6.17848e-05,6.17848e-05
214,1779.81,0.43937,0.44742,1.00909,0.96734,0.96339,0.98468,0.8297,0.52152,0.35076,0.79906,6.02602e-05,6.02602e-05,6.02602e-05
215,1788.72,0.40443,0.44532,1.03313,0.96623,0.9653,0.98497,0.81867,0.52351,0.35343,0.7985,5.87356e-05,5.87356e-05,5.87356e-05
216,1796.82,0.44987,0.45829,0.98797,0.97934,0.96333,0.98554,0.83567,0.52518,0.35504,0.80557,5.7211e-05,5.7211e-05,5.7211e-05
217,1805,0.42586,0.46164,1.01328,0.97955,0.96701,0.98581,0.83395,0.53787,0.35613,0.81821,5.56864e-05,5.56864e-05,5.56864e-05
218,1813.28,0.40972,0.43998,1.00504,0.97982,0.96694,0.986,0.82896,0.54722,0.35374,0.82831,5.41618e-05,5.41618e-05,5.41618e-05
219,1821.59,0.42291,0.4382,1.01286,0.97879,0.96664,0.98687,0.83147,0.53792,0.3445,0.80673,5.26372e-05,5.26372e-05,5.26372e-05
220,1829.49,0.46557,0.45133,0.97112,0.97941,0.96158,0.98586,0.8394,0.51942,0.34428,0.7929,5.11126e-05,5.11126e-05,5.11126e-05
221,1838.61,0.44176,0.45833,1.00125,0.97881,0.96166,0.98497,0.83468,0.52042,0.34593,0.80085,4.9588e-05,4.9588e-05,4.9588e-05
222,1846.51,0.43729,0.44823,0.99836,0.97953,0.96086,0.98443,0.83441,0.52958,0.35387,0.80737,4.80634e-05,4.80634e-05,4.80634e-05
223,1855.4,0.48828,0.47777,1.00005,0.97832,0.9615,0.9849,0.8347,0.5261,0.35734,0.7976,4.65388e-05,4.65388e-05,4.65388e-05
224,1863.16,0.42496,0.45787,1.01168,0.97922,0.95707,0.98451,0.83259,0.52164,0.35641,0.79628,4.50142e-05,4.50142e-05,4.50142e-05
225,1872.28,0.40759,0.42661,1.01004,0.97888,0.95782,0.98504,0.82881,0.5384,0.35045,0.81043,4.34896e-05,4.34896e-05,4.34896e-05
226,1879.95,0.45049,0.44083,0.98143,0.95622,0.98509,0.98477,0.82628,0.53264,0.35802,0.79845,4.1965e-05,4.1965e-05,4.1965e-05
227,1888.7,0.44872,0.45985,0.99089,0.9555,0.98967,0.98481,0.83539,0.51077,0.36387,0.78665,4.04404e-05,4.04404e-05,4.04404e-05
228,1896.62,0.43916,0.44705,0.98855,0.97538,0.96714,0.98467,0.83498,0.51424,0.36397,0.79279,3.89158e-05,3.89158e-05,3.89158e-05
229,1905.54,0.42384,0.46819,0.99421,0.97949,0.96338,0.98467,0.82666,0.5288,0.35936,0.80161,3.73912e-05,3.73912e-05,3.73912e-05
230,1912.97,0.42497,0.45094,1.00273,0.9813,0.9615,0.98518,0.83292,0.53004,0.35997,0.80107,3.58666e-05,3.58666e-05,3.58666e-05
231,1922.19,0.47158,0.46673,0.9852,0.98125,0.96322,0.98588,0.83523,0.52555,0.35641,0.80118,3.4342e-05,3.4342e-05,3.4342e-05
232,1929.61,0.40697,0.45581,1.01308,0.97856,0.96137,0.98585,0.83644,0.51937,0.35305,0.79835,3.28174e-05,3.28174e-05,3.28174e-05
233,1939.01,0.43102,0.44423,1.00885,0.97758,0.96053,0.98533,0.83385,0.52378,0.34732,0.80254,3.12928e-05,3.12928e-05,3.12928e-05
234,1946.31,0.43827,0.44456,0.98298,0.97673,0.96173,0.98478,0.83196,0.52846,0.34015,0.80105,2.97682e-05,2.97682e-05,2.97682e-05
235,1955.65,0.44244,0.47716,1.01125,0.97394,0.96223,0.98458,0.83308,0.52609,0.34762,0.7978,2.82436e-05,2.82436e-05,2.82436e-05
236,1963.01,0.44864,0.4525,0.99777,0.97526,0.96394,0.98438,0.83414,0.52118,0.34735,0.79898,2.6719e-05,2.6719e-05,2.6719e-05
237,1972.17,0.39932,0.4331,0.98722,0.97458,0.96119,0.98427,0.83448,0.51686,0.35364,0.79589,2.51944e-05,2.51944e-05,2.51944e-05
238,1979.27,0.42733,0.4443,0.98867,0.97073,0.96573,0.98473,0.83433,0.51892,0.35478,0.79521,2.36698e-05,2.36698e-05,2.36698e-05
239,1988.41,0.4146,0.42018,0.99038,0.96771,0.96494,0.98477,0.83328,0.51996,0.35494,0.79658,2.21452e-05,2.21452e-05,2.21452e-05
240,1995.81,0.40667,0.41207,0.98547,0.97134,0.95733,0.98438,0.83404,0.51993,0.34774,0.79803,2.06206e-05,2.06206e-05,2.06206e-05
241,2006.71,0.30948,0.46972,0.94095,0.96626,0.95843,0.98462,0.83896,0.5219,0.35596,0.80827,1.9096e-05,1.9096e-05,1.9096e-05
242,2014.45,0.28814,0.4425,0.97078,0.95968,0.97488,0.98616,0.84209,0.51401,0.36972,0.8066,1.75714e-05,1.75714e-05,1.75714e-05
243,2022.87,0.31879,0.40821,0.941,0.95174,0.98099,0.98574,0.84385,0.5195,0.36268,0.81093,1.60468e-05,1.60468e-05,1.60468e-05
244,2030.18,0.3013,0.42024,0.93278,0.9591,0.98112,0.98532,0.83931,0.52927,0.35994,0.82448,1.45222e-05,1.45222e-05,1.45222e-05
245,2039.08,0.28518,0.3936,0.92651,0.95864,0.9859,0.98627,0.84055,0.52762,0.35848,0.82557,1.29976e-05,1.29976e-05,1.29976e-05
246,2045.94,0.2874,0.40692,0.93466,0.96027,0.98316,0.98633,0.84091,0.52464,0.35645,0.82165,1.1473e-05,1.1473e-05,1.1473e-05
247,2055.73,0.26632,0.38502,0.93217,0.9596,0.97655,0.98578,0.83962,0.52489,0.35613,0.81916,9.9484e-06,9.9484e-06,9.9484e-06
248,2062.54,0.29859,0.38865,0.92882,0.96935,0.97116,0.98602,0.83699,0.52497,0.36813,0.81509,8.4238e-06,8.4238e-06,8.4238e-06
249,2072.52,0.29487,0.37344,0.92639,0.96898,0.97419,0.9861,0.83674,0.52366,0.3677,0.81339,6.8992e-06,6.8992e-06,6.8992e-06
250,2079.3,0.28575,0.38252,0.92953,0.96233,0.98346,0.98653,0.8374,0.5217,0.36306,0.81147,5.3746e-06,5.3746e-06,5.3746e-06
