epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,355.265,0.7173,1.05969,1.17078,0.85384,0.88963,0.92421,0.74221,0.69376,0.61724,1.08912,0.000322491,0.000322491,0.000322491
43,362.886,0.72333,1.02782,1.15424,0.86121,0.8832,0.93111,0.7262,0.71293,0.66676,1.04893,0.000320967,0.000320967,0.000320967
44,371.881,0.67612,1.04807,1.19841,0.89566,0.92316,0.94617,0.76398,0.63814,0.58027,0.9699,0.000319442,0.000319442,0.000319442
45,379.595,0.71457,1.00691,1.16806,0.91298,0.88294,0.94963,0.78421,0.62458,0.5698,0.97032,0.000317918,0.000317918,0.000317918
46,388.701,0.71295,1.04677,1.17568,0.94211,0.90467,0.9513,0.77511,0.64191,0.58657,0.98573,0.000316393,0.000316393,0.000316393
47,396.434,0.7273,1.01039,1.14896,0.94471,0.91666,0.95169,0.78755,0.60605,0.5594,0.9254,0.000314868,0.000314868,0.000314868
48,404.869,0.72569,1.03649,1.21081,0.94749,0.90812,0.95039,0.7567,0.68225,0.57497,1.00203,0.000313344,0.000313344,0.000313344
49,412.592,0.73532,0.99852,1.14883,0.94408,0.9249,0.95492,0.78679,0.62164,0.56062,0.97074,0.000311819,0.000311819,0.000311819
50,421.552,0.68393,0.97964,1.18411,0.92853,0.86368,0.94731,0.70657,0.75387,0.57232,1.06197,0.000310295,0.000310295,0.000310295
51,428.9,0.69913,0.98668,1.18175,0.89249,0.90915,0.94679,0.76181,0.66462,0.56961,1.00129,0.00030877,0.00030877,0.00030877
52,438.181,0.70855,0.94601,1.15171,0.89491,0.90801,0.94733,0.76403,0.60127,0.56905,0.92785,0.000307245,0.000307245,0.000307245
53,445.654,0.7278,0.98487,1.15197,0.9192,0.90466,0.94068,0.77369,0.64218,0.55515,0.98483,0.000305721,0.000305721,0.000305721
54,454.473,0.71131,0.97211,1.15773,0.94073,0.90106,0.95474,0.77955,0.63911,0.54752,0.97334,0.000304196,0.000304196,0.000304196
55,461.974,0.67182,0.93152,1.1848,0.93163,0.90633,0.95136,0.77491,0.65818,0.5394,1.011,0.000302672,0.000302672,0.000302672
56,470.889,0.65444,0.91165,1.13903,0.92576,0.93543,0.95229,0.78424,0.61734,0.5215,0.94506,0.000301147,0.000301147,0.000301147
57,478.407,0.6699,0.89529,1.12203,0.92575,0.94377,0.96287,0.79049,0.64547,0.51127,0.95102,0.000299622,0.000299622,0.000299622
58,487.327,0.68796,0.92731,1.14941,0.94836,0.915,0.95794,0.79278,0.5915,0.5431,0.90203,0.000298098,0.000298098,0.000298098
59,494.943,0.63217,0.87853,1.12925,0.93614,0.92415,0.95236,0.78577,0.6128,0.5189,0.90181,0.000296573,0.000296573,0.000296573
60,503.898,0.66671,0.85772,1.11806,0.95041,0.91929,0.95253,0.78709,0.60705,0.49809,0.93,0.000295049,0.000295049,0.000295049
61,511.415,0.61754,0.83958,1.15313,0.93882,0.89386,0.9466,0.77986,0.65491,0.57305,0.99439,0.000293524,0.000293524,0.000293524
62,520.647,0.63431,0.87491,1.14808,0.94984,0.88406,0.94103,0.75671,0.6437,0.53636,0.97704,0.000291999,0.000291999,0.000291999
63,527.898,0.69595,0.87955,1.16414,0.91061,0.91319,0.94177,0.76666,0.61463,0.52659,0.93675,0.000290475,0.000290475,0.000290475
64,537.275,0.68845,0.89572,1.11529,0.94145,0.938,0.95893,0.77519,0.65812,0.4856,0.99946,0.00028895,0.00028895,0.00028895
65,544.439,0.65183,0.86352,1.13577,0.948,0.90175,0.95369,0.78662,0.58013,0.50989,0.91282,0.000287426,0.000287426,0.000287426
66,553.906,0.67251,0.85987,1.15661,0.89999,0.91468,0.94794,0.75589,0.6181,0.52989,0.92883,0.000285901,0.000285901,0.000285901
67,560.862,0.6667,0.80853,1.11041,0.9545,0.92997,0.96027,0.78058,0.59413,0.50263,0.92268,0.000284376,0.000284376,0.000284376
68,570.345,0.65021,0.81489,1.13749,0.96469,0.93738,0.96076,0.77965,0.59689,0.52177,0.91646,0.000282852,0.000282852,0.000282852
69,577.289,0.62567,0.85412,1.1447,0.97039,0.91247,0.95371,0.77704,0.6128,0.51658,0.94827,0.000281327,0.000281327,0.000281327
70,586.726,0.60347,0.80112,1.14489,0.94933,0.94158,0.96905,0.80374,0.58841,0.56653,0.95557,0.000279803,0.000279803,0.000279803
71,593.792,0.6665,0.83371,1.10263,0.9459,0.91083,0.96486,0.80257,0.60673,0.56997,0.97228,0.000278278,0.000278278,0.000278278
72,603.036,0.6849,0.845,1.11276,0.9541,0.90416,0.96314,0.78248,0.58292,0.55104,0.9166,0.000276753,0.000276753,0.000276753
73,609.973,0.65033,0.86356,1.10946,0.89859,0.95101,0.96624,0.78716,0.58651,0.49757,0.89571,0.000275229,0.000275229,0.000275229
74,619.722,0.59945,0.82361,1.12603,0.93436,0.92421,0.95386,0.79942,0.58156,0.5074,0.9154,0.000273704,0.000273704,0.000273704
75,626.714,0.59403,0.76398,1.1101,0.96611,0.92616,0.95192,0.78934,0.5917,0.4787,0.90517,0.00027218,0.00027218,0.00027218
76,636.265,0.63327,0.79775,1.13133,0.95822,0.90887,0.95234,0.78083,0.61648,0.51848,0.93831,0.000270655,0.000270655,0.000270655
77,643.107,0.62699,0.7816,1.13062,0.93485,0.93948,0.95205,0.77081,0.66078,0.49469,1.0172,0.00026913,0.00026913,0.00026913
78,652.551,0.63889,0.78375,1.08427,0.92256,0.94406,0.95754,0.76859,0.6393,0.51346,0.95205,0.000267606,0.000267606,0.000267606
79,659.526,0.60035,0.78025,1.12508,0.94781,0.93208,0.96521,0.76455,0.66237,0.52309,0.9638,0.000266081,0.000266081,0.000266081
